"","latitude","longitude","place","name","type","suburb"
"78",-22.8854513,-43.1251079,"Niteroi","Restaurantes Mercado de São Pedro","Restaurante","Centro"
"79",-22.90953,-43.1314788,"Niteroi","Mirante do pulo","Ponto Turistico","Boa Viagem"
"80",-22.8754212,-43.0315437,"Niteroi","NULL","Bar","Maria Paula"
"81",-22.9011768,-43.1130455,"Niteroi","NULL","Posto de Gasolina","Icaraí"
"82",-22.9316116,-43.0670499,"Niteroi","NULL","Posto de Gasolina","Cafubá"
"83",-22.9367693,-43.0617981,"Niteroi","Policlinica","Hospital","Jacaré"
"84",-22.9427279,-43.0289352,"Niteroi","Frangão na Brasa","Restaurante","Engenho do Mato"
"85",-22.9430355,-43.0293789,"Niteroi","Di Lidia","Restaurante","Engenho do Mato"
"86",-22.9428487,-43.0296737,"Niteroi","Supermarket","Super Mercado","Engenho do Mato"
"87",-22.9427555,-43.0295903,"Niteroi","NULL","Posto de Gasolina","Engenho do Mato"
"88",-22.9459446,-43.0576722,"Niteroi","Esquina do Jorge","Bar","Camboinhas"
"89",-22.9416499,-43.0541207,"Niteroi","Freeport","Super Mercado","Jacaré"
"90",-22.9419581,-43.0377899,"Niteroi","Pensi","Escola","Jacaré"
"91",-22.9435275,-43.0365799,"Niteroi","Buzin","Restaurante","Jacaré"
"92",-22.944435,-43.0359564,"Niteroi","Cervejaria Noi","Bar","Jacaré"
"93",-22.9460898,-43.0320588,"Niteroi","Bradesco","Banco","Jacaré"
"94",-22.9437716,-43.0304647,"Niteroi","Real","Super Mercado","Engenho do Mato"
"95",-22.9061369,-43.0644976,"Niteroi","SuperGasBras","Posto de Gasolina","Maceió"
"96",-22.9137151,-43.0846086,"Niteroi","Ipiranga","Posto de Gasolina","São Francisco"
"97",-22.9143164,-43.0956091,"Niteroi","Hospital de Olhos Santa Beatriz","Hospital","São Francisco"
"98",-22.896921,-43.1246896,"Niteroi","Outback","Restaurante","Ingá"
"99",-22.8795987,-43.056826,"Niteroi","Shalom","Ponto Turistico","Baldeador"
"100",-22.8820915,-43.0820476,"Niteroi","Colégio da Polícia Militar","Escola","Fonseca"
"101",-22.8810602,-43.0872361,"Niteroi","Supermarket","Super Mercado","Fonseca"
"102",-22.9375896,-43.0617784,"Niteroi","Shell","Posto de Gasolina","Cafubá"
"103",-22.9353865,-43.0619568,"Niteroi","NULL","Escola","Jacaré"
"104",-22.9433131,-43.0582907,"Niteroi","Itau","Banco","Camboinhas"
"105",-22.9439997,-43.0584839,"Niteroi","NULL","Banco","Camboinhas"
"106",-22.9288226,-43.0643735,"Niteroi","Unamed","Posto de Gasolina","Jacaré"
"107",-22.9412792,-43.0579244,"Niteroi","Bradesco","Banco","Cafubá"
"108",-22.9364581,-43.0621558,"Niteroi","NULL","Restaurante","Jacaré"
"109",-22.9392172,-43.0617159,"Niteroi","Salesiano","Escola","Cafubá"
"110",-22.9368069,-43.0627046,"Niteroi","Banco do Brasil","Banco","Cafubá"
"111",-22.935928,-43.0638258,"Niteroi","NULL","Escola","Cafubá"
"112",-22.9357916,-43.0236817,"Niteroi","Ipiranga","Posto de Gasolina","Engenho do Mato"
"113",-22.9341964,-43.0219581,"Niteroi","NULL","Restaurante","Engenho do Mato"
"114",-22.9310385,-43.0175163,"Niteroi","NULL","Posto de Gasolina","Engenho do Mato"
"115",-22.9299674,-43.015914,"Niteroi","NULL","Posto de Gasolina","Engenho do Mato"
"116",-22.927958,-43.0124572,"Niteroi","NULL","Posto de Gasolina","Engenho do Mato"
"117",-22.9245559,-43.0076624,"Niteroi","Posto Petrobras","Posto de Gasolina","Engenho do Mato"
"118",-22.9107114,-43.0468261,"Niteroi","NULL","Restaurante","Cantagalo"
"119",-22.912342,-43.0481699,"Niteroi","NULL","Super Mercado","Cantagalo"
"120",-22.9002183,-43.1120618,"Niteroi","Botequim À Mineira Orquídea","Restaurante","Icaraí"
"121",-22.9034147,-43.1102477,"Niteroi","Itaú Personnalité","Banco","Icaraí"
"122",-22.8933285,-43.1233814,"Niteroi","Itaú","Banco","Centro"
"123",-22.8933401,-43.1228174,"Niteroi","Itaú","Banco","Centro"
"124",-22.8933413,-43.122553,"Niteroi","Santander","Banco","Centro"
"125",-22.8933288,-43.1219666,"Niteroi","Itaú","Banco","Centro"
"126",-22.8933246,-43.1214872,"Niteroi","Bradesco","Banco","Centro"
"127",-22.8933763,-43.120559,"Niteroi","Caixa","Banco","Centro"
"128",-22.8934233,-43.1198759,"Niteroi","Itaú","Banco","Centro"
"129",-22.8934222,-43.1194611,"Niteroi","Banco do Brasil","Banco","Centro"
"130",-22.8934403,-43.1191294,"Niteroi","Santander","Banco","Centro"
"131",-22.8934297,-43.118704,"Niteroi","Safra","Banco","Centro"
"132",-22.8937843,-43.1188753,"Niteroi","Sabor da Hora","Restaurante","Centro"
"133",-22.8937721,-43.1194357,"Niteroi","Lucra Empréstimos","Banco","Centro"
"134",-22.893812,-43.1197734,"Niteroi","Requinte Grill","Restaurante","Centro"
"135",-22.8937289,-43.1202789,"Niteroi","BMG","Banco","Centro"
"136",-22.8937239,-43.120411,"Niteroi","Crefisa","Banco","Centro"
"137",-22.8937106,-43.1216586,"Niteroi","Itaú Personnalité","Banco","Centro"
"138",-22.893703,-43.1218666,"Niteroi","Santander","Banco","Centro"
"139",-22.9269797,-43.1192719,"Niteroi","NULL","Restaurante","Jurujuba"
"140",-22.9282034,-43.1177893,"Niteroi","NULL","Ponto Turistico","Jurujuba"
"141",-22.9283483,-43.123088,"Niteroi","NULL","Ponto Turistico","Jurujuba"
"142",-22.9288231,-43.1231291,"Niteroi","NULL","Ponto Turistico","Jurujuba"
"143",-22.9297878,-43.1221088,"Niteroi","NULL","Restaurante","Jurujuba"
"144",-22.8877834,-43.1225656,"Niteroi","Trianon","Ponto Turistico","Centro"
"145",-22.8882484,-43.1229686,"Niteroi","Ponte Nova","Ponto Turistico","Centro"
"146",-22.8985741,-43.0882587,"Niteroi","Escola Anália Franco","Escola","Santa Rosa"
"147",-22.9349774,-43.0690125,"Niteroi","Colégio de Aplicação Dom Hélder Câmara","Escola","Cafubá"
"148",-22.9291149,-43.0638979,"Niteroi","Unidade Municipal de Emergência Doutor Mário Monteiro","Hospital","Jacaré"
"149",-22.8967469,-43.1197866,"Niteroi","Bar do Miguel","Bar","Ingá"
"150",-22.9323236,-43.1164429,"Niteroi","Escola Municipal Lucia Maria Silveira da Rocha","Escola","Jurujuba"
"151",-22.9317776,-43.1159145,"Niteroi","Bar do Edu","Bar","Jurujuba"
"152",-22.9146828,-43.0710337,"Niteroi","NULL","Restaurante","Maceió"
"153",-22.8790067,-43.0918298,"Niteroi","Escola Municipal Jacinta Medela","Escola","Fonseca"
"154",-22.8784427,-43.0920973,"Niteroi","Programa Médico de Família - Módulo Wilma Spin","Hospital","Fonseca"
"155",-22.8781556,-43.0921801,"Niteroi","Escola Municipal Dom José Pereira Alves","Escola","Fonseca"
"156",-22.9116938,-43.0998305,"Niteroi","Médico de Família - Unidade Frank País","Hospital","Vital Brazil"
"157",-22.9149079,-43.094066,"Niteroi","Colégio Estadual Cizínio Soares Pinto","Escola","São Francisco"
"158",-22.9166027,-43.0943074,"Niteroi","Mocellin Churrascaria","Restaurante","São Francisco"
"159",-22.9174476,-43.0941572,"Niteroi","Devassa","Bar","São Francisco"
"160",-22.9180603,-43.094007,"Niteroi","BemDito","Restaurante","São Francisco"
"161",-22.9183024,-43.0939802,"Niteroi","Queen Pizza","Restaurante","São Francisco"
"162",-22.9193449,-43.0937763,"Niteroi","Horácio Bar e Pizzaria","Restaurante","São Francisco"
"163",-22.9199823,-43.0932882,"Niteroi","Bar Formiguinha","Bar","São Francisco"
"164",-22.9210792,-43.0928429,"Niteroi","Colégio Nossa Senhora da Assunção","Escola","São Francisco"
"165",-22.8951598,-43.116738,"Niteroi","Escola de Enfermagem Aurora de Afonso Costa (UFF)","Universidade","Centro"
"166",-22.8740075,-43.0944073,"Niteroi","Escola Municipal Adelino Magalhães","Escola","Engenhoca"
"167",-22.8833012,-43.0726029,"Niteroi","Escola Municipal Alberto Brandão","Escola","Caramujo"
"168",-22.8954392,-43.1170174,"Niteroi","Escola Municipal Alberto Francisco Torres","Escola","Centro"
"169",-22.8644461,-43.0996755,"Niteroi","Escola Municipal Altivo César","Escola","Barreto"
"170",-22.8768717,-43.0479533,"Niteroi","Colégio Estadual David Capistrano","Escola","Santa Bárbara"
"171",-22.8752308,-43.0488706,"Niteroi","Unidade Municipal de Educação Infantil Casa da Criança de Santa Bárbara","Escola","Santa Bárbara"
"172",-22.8755867,-43.0486668,"Niteroi","Escola Municipal Antônio Coutinho","Escola","Santa Bárbara"
"173",-22.8982481,-42.9949862,"Niteroi","Escola Municipal Bolívia de Lima Gaétho","Escola",NA
"174",-22.8825053,-43.1019097,"Niteroi","Escola Municipal Djalma Coutinho de Oliveira","Escola","São Lourenço"
"175",-22.8825102,-43.1020223,"Niteroi","Unidade Municipal de Educação Infantil Maria José B. Mansur","Escola","São Lourenço"
"176",-22.8719484,-43.0770319,"Niteroi","Escola Municipal Djalma Coutinho","Escola","Sete Pontes"
"177",-22.9031233,-43.0471571,"Niteroi","Escola Municipal Diógenes R. de Mendonça","Escola","Pendotiba"
"178",-22.8809626,-43.0742992,"Niteroi","Escola Municipal Ernani Moreira Franco","Escola","Sete Pontes"
"179",-22.9289763,-43.0453178,"Niteroi","Escola Municipal Eulália da S. Bragança","Escola","Jacaré"
"180",-22.9073782,-43.060257,"Niteroi","Escola Municipal Felisberto de Carvalho","Escola","Pendotiba"
"181",-22.9301793,-43.0289139,"Niteroi","Escola Municipal Francisco Portugal Neves","Escola","Jacaré"
"182",-22.9170598,-43.0851123,"Niteroi","NULL","Posto de Gasolina","São Francisco"
"183",-22.9172228,-43.0852598,"Niteroi","Escola Municipal Helena Antipoff","Escola","São Francisco"
"184",-22.8821256,-43.0266264,"Niteroi","Escola Municipal Honorina de Carvalho","Escola","Vila Progresso"
"185",-22.8819081,-43.0268946,"Niteroi","Escola Municipal Sítio do Ipê","Escola","Vila Progresso"
"186",-22.9063004,-43.0815469,"Niteroi","Escola Municipal Horácio Pacheco","Escola","Cachoeira"
"187",-22.8665106,-43.0895398,"Niteroi","Escola Municipal Infante Dom Henrique","Escola","Engenhoca"
"188",-22.8995527,-43.0628843,"Niteroi","Escola Municipal Levi Carneiro","Escola","Maceió"
"189",-22.9007861,-43.1005968,"Niteroi","Unidade Municipal de Educação Infantil Senador Vasconcelos Torres","Escola","Santa Rosa"
"190",-22.9215881,-43.0898806,"Niteroi","Escola Municipal Maria Ângela Moreira Pinto","Escola","São Francisco"
"191",-22.8840103,-43.0942451,"Niteroi","Escola Municipal Maria de Lourdes Barbosa Santos","Escola","Fonseca"
"192",-22.8646616,-43.1001219,"Niteroi","Unidade Municipal de Educação Infantil Rosalina de Araújo","Escola","Barreto"
"193",-22.8730409,-43.1146994,"Niteroi","Colégio Estadual Zuleika Rapôso Valladares","Escola","Ilha da Conceição"
"194",-22.8729767,-43.1157133,"Niteroi","Escola Municipal Maestro Heitor Villa Lobos","Escola","Ilha da Conceição"
"195",-22.8778957,-43.0776158,"Niteroi","Unidade Municipal de Educação Infantil Renata Magaldi","Escola","Sete Pontes"
"196",-22.864589,-43.0985739,"Niteroi","Escola Municipal Mestra Fininha","Escola","Barreto"
"197",-22.8648534,-43.0989602,"Niteroi","Escola Municipal André Trouche","Escola","Barreto"
"198",-22.8708844,-43.0825828,"Niteroi","Escola Municipal Noronha Santos","Escola","Sete Pontes"
"199",-22.8797403,-43.1237793,"Niteroi","Escola Municipal Nossa Senhora da Penha","Escola","Ponta d'Areia"
"200",-22.8781803,-43.0972657,"Niteroi","Unidade Municipal de Educação Infantil Professora Marilza da Conceição Rocha Medina","Escola","Engenhoca"
"201",-22.9036612,-43.0909982,"Niteroi","Escola Municipal Padre Leonel Franca","Escola","Vital Brazil"
"202",-22.9003065,-43.1287391,"Niteroi","Unidade Municipal de Educação Infantil Profª Denise Mendes Cardia","Escola","Ingá"
"203",-22.8829261,-43.0825537,"Niteroi","Escola Municipal Paulo Freire","Escola","Fonseca"
"204",-22.8921137,-43.1208492,"Niteroi","Escola Municipal Professor Oswaldo Salles Lima","Escola","Centro"
"205",-22.9364652,-43.0218054,"Niteroi","Unidade Municipal de Educação Infantil Profª Áurea Trindade Pimentel de Menezes","Escola","Engenho do Mato"
"206",-22.9111291,-43.1028817,"Niteroi","Escola Municipal Professora Elvira Lúcia E. de Vasconcelos","Escola","Vital Brazil"
"207",-22.8755987,-43.0538998,"Niteroi","Escola Municipal Rachide da Glória Salim Saker","Escola","Tribobó"
"208",-22.8954541,-43.1093459,"Niteroi","Escola Municipal Santos Dumont","Escola","Pé Pequeno"
"209",-22.894454,-43.0812256,"Niteroi","Escola Municipal Sebastiana Gonçalves Pinho","Escola","Fonseca"
"210",-22.8869292,-43.1075003,"Niteroi","Unidade Municipal de Educação Infantil Profº Nilo Neves","Escola","São Lourenço"
"211",-22.8647752,-43.080321,"Niteroi","Escola Municipal Tiradentes","Escola",NA
"212",-22.8730309,-43.1165156,"Niteroi","Unidade Municipal de Educação Infantil Profº Írio Molinari","Escola","Ilha da Conceição"
"213",-22.8820513,-43.1229512,"Niteroi","Unidade Municipal de Educação Infantil Portugal Pequeno","Escola","Ponta d'Areia"
"214",-22.8666182,-43.0896535,"Niteroi","Unidade Municipal de Educação Infantil Neuza Brizola","Escola","Engenhoca"
"215",-22.9361068,-43.0220879,"Niteroi","Unidade Municipal de Educação Infantil Odete Rosa da Mota","Escola","Engenho do Mato"
"216",-22.9316685,-43.0965188,"Niteroi","Unidade Municipal de Educação Infantil Maria Luiza Sampaio","Escola","Charitas"
"217",-22.9077117,-43.0751607,"Niteroi","Unidade Municipal de Educação Infantil Margareth Flores","Escola","Cachoeira"
"218",-22.8914371,-43.0675856,"Niteroi","Unidade Municipal de Educação Infantil Luiz Eduardo Travassos","Escola","Caramujo"
"219",-22.9231848,-43.0312037,"Niteroi","Unidade Municipal de Educação Infantil Lizete Maciel","Escola","Jacaré"
"220",-22.9046329,-43.0612118,"Niteroi","Unidade Municipal de Educação Infantil Lisaura Machado Ruas","Escola","Cantagalo"
"221",-22.8649015,-43.0949818,"Niteroi","Unidade Municipal de Educação Infantil Iguatemi Coquinot","Escola","Engenhoca"
"222",-22.8969024,-43.1025738,"Niteroi","Unidade Municipal de Educação Infantil Hilka de Araujo Peçanha","Escola","Pé Pequeno"
"223",-22.8771175,-43.0478813,"Niteroi","Unidade Municipal de Educação Infantil Hermógenes Reis","Escola","Tribobó"
"224",-22.8929291,-43.1159575,"Niteroi","Unidade Municipal de Educação Infantil Alberto de Oliveira","Escola","Centro"
"225",-22.8999437,-43.1206538,"Niteroi","Unidade Municipal de Educação Infantil Antonio Vieira da Rocha","Escola","Ingá"
"226",-22.907468,-43.0601707,"Niteroi","Unidade Municipal de Educação Infantil Gabriela Mistral","Escola","Pendotiba"
"227",-22.9005603,-43.0527501,"Niteroi","Unidade Municipal de Educação Infantil Elenir Ramos Meirelles","Escola","Pendotiba"
"228",-22.9050438,-43.0905445,"Niteroi","Unidade Municipal de Educação Infantil G. M. Bezerra de Menezes","Escola","Vital Brazil"
"229",-22.8804672,-43.1085072,"Niteroi","Unidade Municipal de Educação Infantil Julieta Botelho","Escola","São Lourenço"
"230",-22.9321151,-43.0720494,"Niteroi","Restaurante Seu Antônio","Restaurante","Cafubá"
"231",-22.9426186,-43.0561568,"Niteroi","Colégio La Place","Escola","Jacaré"
"232",-22.9448012,-43.0339761,"Niteroi","Ipiranga","Posto de Gasolina","Jacaré"
"233",-22.9445701,-43.034496,"Niteroi","Itaú","Banco","Jacaré"
"234",-22.944496,-43.034606,"Niteroi","Caixa Econômica Federal","Banco","Jacaré"
"235",-22.9447183,-43.03507,"Niteroi","Maravista","Super Mercado","Jacaré"
"236",-22.9383619,-43.0134183,"Niteroi","Delícia Quentinha","Restaurante","Engenho do Mato"
"237",-22.88852,-43.123087,"Niteroi","Caneco Gelado do Mário","Bar","Centro"
"238",-22.8982284,-43.1017362,"Niteroi","NULL","Escola","Santa Rosa"
"239",-22.8987296,-43.1051641,"Niteroi","Shell","Posto de Gasolina","Icaraí"
"240",-22.911476,-43.1091034,"Niteroi","Tenore","Restaurante","Icaraí"
"241",-22.8865343,-43.114845,"Niteroi","NULL","Posto de Gasolina","Centro"
"242",-22.8967591,-43.1124277,"Niteroi","Hortifruti","Super Mercado","Icaraí"
"243",-22.927217,-43.119036,"Niteroi","Bicho Papão","Restaurante","Jurujuba"
"244",-22.9024956,-43.1150498,"Niteroi","NULL","Banco","Icaraí"
"245",-22.9030811,-43.1156935,"Niteroi","Gruta de Capri","Restaurante","Icaraí"
"246",-22.9071013,-43.0606373,"Niteroi","HSBC","Banco","Pendotiba"
"247",-22.8815615,-43.0834615,"Niteroi","Banco do Brasil","Banco","Fonseca"
"248",-22.8807831,-43.0960699,"Niteroi","Princesa","Super Mercado","Fonseca"
"249",-22.8812013,-43.0834354,"Niteroi","Santander","Banco","Fonseca"
"250",-22.8621018,-43.008743,"Niteroi","NULL","Posto de Gasolina","Arrastão"
"251",-22.8637284,-43.0079935,"Niteroi","NULL","Posto de Gasolina","Arrastão"
"252",-22.8762723,-43.05453,"Niteroi","NULL","Posto de Gasolina","Caramujo"
"253",-22.8809118,-43.103337,"Niteroi","NULL","Posto de Gasolina","São Lourenço"
"254",-22.8810402,-43.0894335,"Niteroi","NULL","Posto de Gasolina","Fonseca"
"255",-22.8812125,-43.0948117,"Niteroi","NULL","Posto de Gasolina","Fonseca"
"256",-22.9001463,-43.1102908,"Niteroi","Parmê","Restaurante","Icaraí"
"257",-22.8999645,-43.1104324,"Niteroi","Wizard","Escola","Icaraí"
"258",-22.9030335,-43.1114931,"Niteroi","Chuang Lin","Restaurante","Icaraí"
"259",-22.9039246,-43.1027135,"Niteroi","Torninha","Restaurante","Icaraí"
"260",-22.9067861,-43.1052047,"Niteroi","Restaurante Zagatti","Restaurante","Icaraí"
"261",-22.902717,-43.1051641,"Niteroi","Centro Educacional Alzira Bittencourt","Escola","Icaraí"
"262",-22.9033134,-43.1107124,"Niteroi","Bradesco Prime","Banco","Icaraí"
"263",-22.9027509,-43.1109286,"Niteroi","Mundo Verde","Super Mercado","Icaraí"
"264",-22.9036016,-43.110096,"Niteroi","DUT","Restaurante","Icaraí"
"265",-22.9035442,-43.1100465,"Niteroi","Siri II","Bar","Icaraí"
"266",-22.9402863,-43.0473073,"Niteroi","Gruta de Capri","Restaurante","Jacaré"
"267",-22.872598,-43.0501159,"Niteroi","DP-Civil 075","Policia Civil",NA
"268",-22.89364,-43.117807,"Niteroi","DP-Civil 076","Policia Civil","Centro"
"269",-22.908221,-43.103376,"Niteroi","DP-Civil 077","Policia Civil","Vital Brazil"
"270",-22.880781,-43.090498,"Niteroi","DP-Civil 078","Policia Civil","Fonseca"
"271",-22.919503,-43.094124,"Niteroi","DP-Civil 079","Policia Civil","São Francisco"
"272",-22.96652,-43.037779,"Niteroi","DP-Civil 080","Policia Civil","Itacoatiara"
"273",-22.950848,-43.058189,"Niteroi","DPO Camboinhas","Policia Militar","Camboinhas"
"274",-22.969429,-43.03215,"Niteroi","DPO Itacoatiara","Policia Militar","Itacoatiara"
"275",-22.95483,-43.068903,"Niteroi","DPO Piratininga","Policia Militar","Camboinhas"
"276",-22.910751,-42.985979,"Niteroi","DPO Várzea das Moças","Policia Militar","Rio do Ouro"
"277",-22.878721,-43.02663,"Niteroi","DPO Maria Paula","Policia Militar",NA
"278",-22.931796,-43.066792,"Niteroi","DPO Cafubá","Policia Militar","Jacaré"
"279",-22.870118,-43.095282,"Niteroi","DPO Engenhoca","Policia Militar","Engenhoca"
"280",-22.885264,-43.1166,"Niteroi","12º Batalhão","Policia Militar","Centro"
